id,State,Mean Household Income,Percent of 18+ Pop Fully Vaccinated,Black or African American,Population Density,Case Rate per 100000,Death Rate per 100000,65 and over,Age,60 to 64,55 to 59,45 to 54,35 to 44,25 to 34,20 to 24,15 to 19,10 to 14
0400000US21,Kentucky,70144,50,8.1,114.1,10258,151,16.0,Low,6.4,6.9,13.1,12.4,13.0,6.8,6.5,6.5
0400000US22,Louisiana,71001,49.2,32.2,107.8,10125,227,15.0,Low,6.3,6.6,12.3,12.5,14.3,6.8,6.4,6.6
0400000US23,Maine,76227,40.6,1.4,44.2,10254,259,20.0,High,7.7,8.0,13.9,11.4,11.8,5.7,5.9,5.4
0400000US24,Maryland,111417,65.7,29.9,636.1,7601,158,15.0,Low,6.3,7.0,13.9,12.8,13.8,6.4,6.4,6.3
0400000US25,Massachusetts,111498,60.7,7.6,901.2,5039,61,16.2,Low,6.5,7.1,13.7,12.2,14.2,7.1,6.7,5.8
0400000US26,Michigan,78400,66.6,13.8,178,9932,204,16.7,High,6.8,7.2,13.2,11.7,12.7,7.1,6.6,6.3
0400000US27,Minnesota,93925,53,6.4,71.7,10659,133,15.4,Low,6.3,7.1,12.7,12.5,13.6,6.4,6.4,6.6
0400000US28,Mississippi,62835,58.9,37.7,63.1,10665,245,15.4,Low,6.2,6.6,12.5,12.4,13.0,7.0,7.1,6.9
0400000US29,Missouri,76060,35.6,11.5,89.5,9766,147,16.5,High,6.5,7.0,12.6,12.1,13.3,6.8,6.5,6.4
0400000US30,Montana,74190,43.9,0.5,7.4,10459,150,18.2,High,7.4,7.0,11.7,11.8,12.7,6.9,6.2,6.3
0400000US31,Nebraska,80208,48.2,4.8,25.5,9546,124,15.4,Low,6.2,6.5,11.7,12.4,13.3,7.1,6.8,6.9
0400000US32,Nevada,81496,45.6,9.1,28.3,14426,198,15.4,Low,6.0,6.4,13.1,13.3,14.6,6.1,6.0,6.6
0400000US33,New Hampshire,99165,47.4,1.6,153.8,11544,116,17.5,High,7.3,8.3,14.5,11.5,12.3,6.7,6.5,5.7
0400000US34,New Jersey,114691,55.4,13.5,"1,263.00",7259,99,15.9,Low,6.4,7.2,14.2,12.8,12.8,6.3,6.3,6.3
0400000US35,New Mexico,69077,60.1,2.1,17.5,11437,294,16.9,High,6.5,6.6,11.8,11.9,13.5,6.9,6.7,6.9
0400000US36,New York,101945,61.8,15.7,428.7,9673,203,16.1,Low,6.3,6.8,13.4,12.4,14.6,6.8,6.2,5.9
0400000US37,North Carolina,76940,60.8,21.4,214.7,10511,181,15.9,Low,6.2,6.7,13.4,12.6,13.3,6.8,6.7,6.5
0400000US38,North Dakota,85476,47.2,2.9,11.3,10406,178,14.9,Low,6.1,6.5,11.0,11.6,15.3,8.5,6.3,6.1
0400000US39,Ohio,76958,58.6,12.4,288.8,9424,169,16.7,High,6.7,7.1,13.0,11.9,13.1,6.6,6.6,6.4
0400000US40,Oklahoma,72695,51,7.3,57.7,11450,184,15.3,Low,6.0,6.4,11.9,12.4,13.8,7.1,6.7,6.9
0400000US41,Oregon,84258,44,1.9,44.1,4766,63,17.2,High,6.7,6.4,12.4,13.3,14.1,6.4,6.0,6.0
0400000US42,Pennsylvania,84849,56.4,11.2,290.6,9384,212,17.8,High,6.9,7.2,13.2,11.7,13.1,6.5,6.4,6.0
0400000US44,Rhode Island,89093,54.6,6.8,"1,061.40",14324,255,16.8,High,6.7,7.2,13.5,11.7,13.7,7.3,6.9,5.6
0400000US45,South Carolina,73520,63.3,26.8,170.2,11517,189,17.2,High,6.5,6.8,12.9,12.1,13.1,6.6,6.6,6.3
0400000US46,South Dakota,76240,42.7,2.0,11.7,14035,227,16.3,Low,6.5,6.8,11.4,11.7,13.1,6.9,6.6,6.8
0400000US47,Tennessee,74750,55.6,16.8,167.6,12632,182,16.0,Low,6.3,6.7,13.2,12.5,13.6,6.7,6.4,6.4
0400000US48,Texas,87260,40.5,12.1,111.6,10151,173,12.3,Low,5.3,5.9,12.5,13.5,14.7,7.1,7.1,7.4
0400000US49,Utah,91292,46.4,1.2,39.7,12659,71,10.8,Low,4.7,4.8,10.2,13.6,14.7,8.3,7.9,8.4
0400000US50,Vermont,81233,44.6,1.4,69.8,7913,130,18.8,High,7.7,7.7,13.4,11.2,11.7,7.4,6.8,5.4
0400000US51,Virginia,101746,56.9,19.2,218.6,3878,40,15.0,Low,6.1,6.8,13.5,13.0,13.9,6.8,6.5,6.2
0400000US53,Washington,98983,68,3.8,115.9,5724,75,15.1,Low,6.3,6.6,12.7,13.2,15.1,6.5,6.0,6.1
0400000US54,West Virginia,63680,59,3.7,74.6,11576,134,19.4,High,7.4,7.1,13.1,12.1,11.8,6.4,6.0,5.8
0400000US55,Wisconsin,80674,56.1,6.4,108.8,9000,155,16.5,High,6.7,7.3,13.1,12.1,12.6,6.9,6.6,6.4
0400000US56,Wyoming,81880,42.1,1.0,5.9,10392,124,15.7,Low,6.8,6.9,11.6,12.4,13.7,6.8,6.3,6.7
0400000US72,Puerto Rico,32924,41.2,11.7,959.6,4339,78,19.7,High,6.4,6.5,13.1,12.4,12.5,7.0,6.7,6.0
