County Level Vaccination Data for South Carolina
Date generated: Tue Jul 06 2021 15:26:03 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Georgetown County,29237,25238,46.6,40.3,25212,29197,52.5,45.3,28534,55.5,24708,48,13652,12252,76.1,68.3
Greenville County,230124,203577,44,38.9,203213,229519,51.7,45.8,220140,54.5,196093,48.6,70411,64007,83.3,75.7
Greenwood County,27482,25003,38.8,35.3,24973,27437,45.6,41.5,26703,48.7,24407,44.5,10891,10369,81.6,77.7
Hampton County,9183,8080,47.8,42,8073,9170,55.2,48.6,8955,59.1,7927,52.3,3502,3176,97,88
Horry County,164179,144630,46.4,40.8,144491,163935,52.2,46.1,160589,55,142090,48.7,76269,69117,85.9,77.8
Jasper County,8656,7069,28.8,23.5,7063,8646,33.2,27.1,8450,35,6942,28.8,3056,2689,50.5,44.4
Kershaw County,29585,26123,44.5,39.3,26078,29503,52.1,46,28220,55.1,25127,49.1,10133,9378,81.5,75.4
Lancaster County,35590,27933,36.3,28.5,27902,35533,42.5,33.4,34609,45,27227,35.4,15424,11181,73.4,53.2
Laurens County,20179,18284,29.9,27.1,18276,20158,34.9,31.7,19730,37.4,17976,34.1,8514,7991,67.1,63
Lee County,5366,4745,31.9,28.2,4743,5363,36.4,32.2,5253,38.9,4671,34.6,2292,2075,69.2,62.7
Lexington County,125107,110710,41.9,37.1,110521,124760,49,43.4,119674,52.1,106785,46.4,39386,36032,81.3,74.4
Marion County,11164,9965,36.4,32.5,9962,11153,42.6,38.1,10922,46,9789,41.2,4476,4178,70.5,65.8
Marlboro County,8660,7554,33.2,28.9,7545,8646,38.1,33.3,8474,40.5,7421,35.4,3142,2881,64.6,59.3
McCormick County,4987,4557,52.7,48.2,4555,4983,56.6,51.7,4934,58.8,4535,54.1,2934,2757,87,81.8
Newberry County,16045,14066,41.7,36.6,14038,16001,48.5,42.5,15572,51.5,13759,45.5,6603,5877,84.7,75.4
Oconee County,29911,26976,37.6,33.9,26960,29885,43,38.8,29245,45.9,26479,41.5,14104,13088,75.2,69.8
Orangeburg County,35523,31101,41.2,36.1,31073,35472,48,42,34715,51.5,30606,45.4,14057,12838,80.1,73.1
Pickens County,48065,43170,37.9,34,43117,47970,43,38.6,46532,45.1,41966,40.6,17363,16001,81.7,75.3
Richland County,199235,169378,47.9,40.7,169107,198713,55.6,47.3,189618,58,162799,49.8,50350,44182,91.8,80.5
Saluda County,5078,4376,24.8,21.4,4372,5070,28.9,24.9,4976,30.9,4311,26.8,1696,1581,40.8,38
Spartanburg County,106051,94435,33.2,29.5,94309,105818,39,34.8,102593,41.7,91878,37.4,37476,34619,71.4,66
Sumter County,41472,32892,38.9,30.8,32871,41423,46.2,36.7,40598,49.9,32461,39.9,14864,12389,82.6,68.9
Union County,8737,7652,32,28,7646,8725,37,32.4,8623,40.1,7576,35.2,3966,3576,70.4,63.5
Unknown,145989,128714,N/A,N/A,128609,145739,N/A,N/A,142932,N/A,126712,N/A,52231,43547,N/A,N/A
Williamsburg County,13150,11687,43.3,38.5,11685,13145,49.7,44.1,12901,53.4,11526,47.7,5014,4624,75.9,70
York County,105644,87977,37.6,31.3,87779,105301,44.4,37,99799,46.8,83756,39.2,29868,23144,72.1,55.9
