County,People with at least 1 Dose,People Fully Vaccinated,Percent of Total Pop with at least 1 Dose,Percent of Total Pop Fully Vaccinated,People 12+ Fully Vaccinated,People 12+ with at least 1 Dose,Percent of 12+ Pop with at least 1 Dose,Percent of 12+ Pop Fully Vaccinated,People 18+ with at least 1 Dose,Percent of 18+ Pop with at least 1 Dose,People 18+ Fully Vaccinated,Percent of 18+ Pop Fully Vaccinated,People 65+ with at least 1 Dose,People 65+ Fully Vaccinated,Percent 65+ Pop at least 1 Dose,Percent of 65+ Pop Fully Vaccinated
Clay County,3793,2884,33.8,25.7,2884,3792,37.7,28.7,3780,40.4,2877,30.8,2302,1715,64.3,47.9
Cleveland County,33940,29323,34.7,29.9,29314,33914,40.4,34.9,32870,43,28537,37.3,13441,12326,72.4,66.4
Columbus County,18077,15242,32.6,27.5,15239,18068,37.5,31.6,17742,40.3,15047,34.2,7108,6376,62.2,55.8
Craven County,43806,39843,42.9,39,39815,43696,50,45.6,42283,52.6,38839,48.3,17166,16436,85.4,81.8
Cumberland County,152602,135681,45.5,40.4,135605,152450,54.9,48.8,147574,58.4,132229,52.3,34406,31928,84,78
Currituck County,11838,9642,42.6,34.7,9637,11829,49.7,40.5,11590,53.5,9483,43.8,4309,3532,94.7,77.6
Dare County,23174,20866,62.6,56.4,20851,23152,70.7,63.7,22495,74.8,20300,67.5,8813,8391,99.9,99.9
Davidson County,56425,50996,33.7,30.4,50964,56356,39,35.3,54621,41.6,49683,37.8,20809,19631,66.9,63.1
Davie County,18398,16190,42.9,37.8,16178,18379,49.3,43.4,17681,52.2,15637,46.1,6960,6358,75,68.5
Duplin County,16933,14652,28.8,24.9,14651,16925,34.1,29.5,16614,37.1,14460,32.3,6312,5794,55.3,50.8
Durham County,178998,157544,55.7,49,157222,178482,64.7,57,170510,66.6,151002,59,37051,34692,84.7,79.3
Edgecombe County,17818,15536,34.6,30.2,15534,17801,40.5,35.3,17489,43.8,15319,38.4,7280,6737,69.3,64.1
Forsyth County,176306,154773,46.1,40.5,154537,175911,54,47.4,167424,56.7,148206,50.2,50363,45987,80.3,73.3
Franklin County,26938,22307,38.7,32,22295,26905,44.9,37.2,25877,47.5,21535,39.5,8953,7709,75,64.6
Gaston County,76956,66782,34.3,29.7,66757,76901,40.1,34.8,74470,42.7,64969,37.3,26308,23397,71.8,63.8
Gates County,4339,3632,37.5,31.4,3632,4337,42.9,35.9,4283,46.4,3601,39,1765,1501,73,62.1
Graham County,3037,2698,36,32,2698,3036,40.9,36.4,3014,44.5,2685,39.7,1410,1310,68.2,63.4
Granville County,27339,24268,45.2,40.2,24245,27296,51.8,46,26384,54.9,23582,49.1,7861,7283,73.6,68.2
Greene County,7140,5924,33.9,28.1,5922,7138,38.9,32.2,7015,41.5,5837,34.6,2251,1782,62.7,49.6
Guilford County,249667,218661,46.5,40.7,218421,249211,54.2,47.5,237529,56.8,209626,50.1,67578,61759,81,74
Halifax County,20095,17252,40.2,34.5,17242,20078,46.4,39.9,19706,50,17017,43.2,8257,7490,77.2,70.1
Harnett County,38388,33411,28.2,24.6,33390,38331,34.2,29.8,36941,36.6,32441,32.1,12355,11506,70.8,65.9
Haywood County,28794,25561,46.2,41,25540,28753,52.3,46.5,28024,55,25028,49.1,12123,11462,77.9,73.6
Henderson County,51615,46607,44,39.7,46576,51515,49.9,45.1,50215,52.6,45654,47.8,22287,20822,72,67.3
Hertford County,6923,4656,29.2,19.7,4654,6920,33.1,22.3,6841,35.4,4605,23.9,2929,1886,60.6,39
Hoke County,12435,10188,22.5,18.4,10182,12413,27.8,22.8,11973,29.7,9951,24.7,3534,3190,60.4,54.5
Hyde County,2828,2456,57.3,49.7,2449,2819,63.9,55.5,2741,66.9,2394,58.4,933,887,83.8,79.6
Iredell County,69611,58728,38.3,32.3,58693,69549,44.6,37.6,67201,47.8,57163,40.6,22150,20533,75.1,69.6
Jackson County,19173,16963,43.6,38.6,16940,19145,48.9,43.2,18510,50.4,16467,44.8,6287,5928,71.8,67.7
Johnston County,80163,68949,38.3,32.9,68870,80032,45.6,39.2,76321,48.7,66294,42.3,21753,20115,76.2,70.4
Jones County,3591,3222,38.1,34.2,3219,3586,43.1,38.7,3515,45.6,3177,41.2,1609,1524,71.3,67.5
Lee County,25133,21945,40.7,35.5,21941,25119,48.2,42.1,24187,51.3,21304,45.2,8408,7838,80.8,75.3
Lenoir County,22032,19076,39.4,34.1,19073,22026,46,39.8,21549,49.6,18743,43.2,8821,8070,78,71.4
Lincoln County,29900,27156,34.7,31.5,27140,29876,40,36.4,29121,42.8,26587,39.1,11391,10750,73.7,69.6
Macon County,11101,9993,31,27.9,9982,11072,35,31.6,10821,37,9780,33.4,4561,4228,44.1,40.9
Madison County,8361,7546,38.4,34.7,7542,8355,43.2,39,8249,46,7473,41.7,3712,3490,73.7,69.3
Martin County,17325,15883,77.2,70.8,15875,17309,89,81.6,16923,94.5,15583,87,6861,6584,99.9,99.9
McDowell County,15873,14804,34.7,32.4,14794,15852,39.7,37,15557,42.5,14577,39.8,7689,7392,80.8,77.7
Mecklenburg County,523756,438562,47.2,39.5,438008,522698,55.7,46.7,495171,58.1,419179,49.2,104980,95747,82.2,75
Mitchell County,5504,4796,36.8,32.1,4795,5502,41.7,36.3,5470,44.7,4778,39.1,2451,2197,64.3,57.7
Montgomery County,8582,7320,31.6,26.9,7316,8578,36.5,31.1,8421,39.6,7207,33.9,3856,3412,67.1,59.4
Moore County,48558,42784,48.1,42.4,42743,48479,56.1,49.4,46473,58.6,41251,52,20649,19276,85.4,79.7
Nash County,39726,34618,42.1,36.7,34611,39696,48.9,42.7,38817,52.6,34002,46.1,14452,13336,80.5,74.3
New Hanover County,117269,100613,50,42.9,100526,117104,56.6,48.6,112690,58.8,97421,50.8,37012,33292,85.8,77.2
Northampton County,7448,6299,38.2,32.3,6295,7442,42.9,36.3,7357,45.6,6259,38.8,3675,3277,69.9,62.3
Onslow County,75875,65674,38.3,33.2,65658,75834,46.8,40.5,73587,49.3,64134,42.9,16697,15641,87.8,82.2
Orange County,94850,83157,63.9,56,82880,94426,72.2,63.3,87782,73.2,77684,64.8,20012,18790,92.4,86.8
Pamlico County,5817,5138,45.7,40.4,5138,5810,50.3,44.5,5762,53.3,5109,47.3,3018,2859,78.1,74
Pasquotank County,15175,11882,38.1,29.8,11878,15162,44.6,34.9,14964,48.2,11809,38,5802,4715,84.8,68.9
Pender County,24031,20839,38.1,33,20829,24015,44.5,38.6,23446,47.8,20467,41.7,8788,8149,75,69.6
Perquimans County,3993,2301,29.7,17.1,2301,3993,33.7,19.4,3970,36.2,2283,20.8,2299,1277,62.6,34.8
Person County,16408,14838,41.5,37.6,14822,16386,47.9,43.3,15918,50.8,14476,46.2,6095,5817,76.8,73.3
Pitt County,73257,65239,40.5,36.1,65182,73155,47,41.9,70613,49.6,63225,44.4,19671,18445,78.5,73.6
Polk County,7603,6559,36.7,31.6,6549,7585,40.4,34.9,7406,42.4,6401,36.6,3764,3205,56.7,48.2
Randolph County,42749,38858,29.8,27,38834,42708,34.6,31.5,41650,37.3,38023,34,16689,15745,64,60.4
Richmond County,15270,13884,34.1,31,13880,15257,40.1,36.5,14913,43.2,13644,39.5,5927,5696,72.4,69.6
Robeson County,34696,29044,26.6,22.2,29036,34675,31.8,26.6,33903,34.4,28546,29,13243,12119,64.4,58.9
Rockingham County,33449,29318,36.8,32.2,29302,33415,42.2,37,32548,44.8,28662,39.4,13277,12222,69.9,64.3
Rowan County,45279,39867,31.9,28.1,39847,45232,37.1,32.6,44153,39.9,39070,35.3,17467,16273,68.8,64.1
Rutherford County,20842,17721,31.1,26.4,17709,20822,35.7,30.3,20455,38.3,17419,32.6,9048,7805,60.9,52.5
Sampson County,23142,20059,36.4,31.6,20052,23125,43.2,37.5,22636,47.1,19743,41.1,8067,7542,69.3,64.8
Scotland County,12067,10626,34.7,30.5,10626,12067,41.1,36.2,11797,44,10425,38.9,4585,4274,70.2,65.4
Stanly County,14363,9576,22.9,15.2,9571,14356,26.6,17.7,14223,28.9,9470,19.2,7386,4453,60.9,36.7
Stokes County,12857,11114,28.2,24.4,11112,12852,31.9,27.6,12540,33.8,10879,29.3,5640,4914,56.9,49.6
Surry County,27224,24769,37.9,34.5,24757,27201,43.7,39.8,26593,46.8,24273,42.7,10768,10210,72,68.2
Swain County,6511,5559,45.6,39,5557,6508,53.6,45.8,6207,55.7,5360,48.1,2346,2127,83.7,75.9
Transylvania County,15520,14110,45.1,41,14099,15495,50,45.5,15106,51.9,13824,47.5,7026,6632,65,61.4
Tyrrell County,1398,1254,34.8,31.2,1254,1397,39.5,35.5,1373,41.8,1244,37.8,552,518,68.1,64
Union County,94532,83177,39.4,34.7,83104,94383,46.7,41.1,88721,50.2,78920,44.7,23575,22107,75.5,70.8
Vance County,16355,13362,36.7,30,13358,16326,43.3,35.5,15776,46.3,13048,38.3,6371,5449,75.1,64.2
Wake County,639455,548412,57.5,49.3,547213,637532,67.7,58.1,593776,69.9,514686,60.6,123066,113196,91.9,84.6
Warren County,7009,5082,35.5,25.8,5079,7005,40.1,29.1,6840,42.2,4967,30.7,3214,1930,62.1,37.3
Washington County,4370,3561,37.7,30.8,3558,4363,43.3,35.3,4298,46.3,3525,38,2230,1881,76.1,64.2
Watauga County,28592,23672,50.9,42.1,23644,28526,55.4,45.9,27505,56.1,23117,47.2,7173,6497,77.7,70.4
Wayne County,44900,39051,36.5,31.7,39025,44855,43.3,37.6,43579,46.3,38151,40.6,14398,12996,69.2,62.5
Wilkes County,22540,18928,32.9,27.7,18915,22515,37.7,31.6,22070,40.4,18614,34.1,9482,8487,62.5,56
Wilson County,31447,27321,38.4,33.4,27299,31412,45.1,39.2,30603,48.4,26738,42.3,11366,10535,74.1,68.7
Yadkin County,13310,12265,35.3,32.6,12260,13302,40.7,37.5,13009,43.6,12027,40.3,5434,5210,70.5,67.6
Yancey County,7006,6411,38.8,35.5,6410,7003,43.9,40.1,6965,47.1,6380,43.2,3361,3199,70.8,67.4
