County,People with at least 1 Dose,People Fully Vaccinated,Percent of Total Pop with at least 1 Dose,Percent of Total Pop Fully Vaccinated,People 12+ Fully Vaccinated,People 12+ with at least 1 Dose,Percent of 12+ Pop with at least 1 Dose,Percent of 12+ Pop Fully Vaccinated,People 18+ with at least 1 Dose,Percent of 18+ Pop with at least 1 Dose,People 18+ Fully Vaccinated,Percent of 18+ Pop Fully Vaccinated,People 65+ with at least 1 Dose,People 65+ Fully Vaccinated,Percent 65+ Pop at least 1 Dose,Percent of 65+ Pop Fully Vaccinated
Niagara County,116190,107548,55.5,51.4,107548,116188,63.8,59.1,111151,66.3,103437,61.7,35017,32839,85.7,80.4
Oneida County,117626,109557,51.4,47.9,109555,117622,59.8,55.7,112222,62.4,105032,58.4,36594,34571,83.5,78.9
Onondaga County,287833,268285,62.5,58.3,268268,287788,72.5,67.6,271542,74.7,254211,69.9,73369,69594,90.9,86.2
Ontario County,64401,60969,58.7,55.5,60969,64400,67.2,63.6,60597,68.9,57752,65.7,19492,18731,86.2,82.8
Orange County,201713,183435,52.4,47.7,183432,201694,62.8,57.1,191252,66.7,175097,61,46327,43164,84,78.3
Orleans County,18077,16965,44.8,42,16965,18076,51.1,47.9,17335,53.2,16361,50.3,5726,5524,77,74.3
Oswego County,57641,54329,49.2,46.4,54327,57636,56.9,53.6,54851,59.2,51900,56,16253,15557,82.6,79
Otsego County,30647,28910,51.5,48.6,28910,30647,57.4,54.1,29161,58.2,27639,55.1,10333,9770,79.9,75.5
Putnam County,59252,54661,60.3,55.6,54659,59249,68.3,63,56110,70.8,52066,65.7,14858,13870,83.8,78.2
Rensselaer County,94909,88547,59.8,55.8,88543,94881,68.5,63.9,90119,70.4,84497,66,24824,23492,89.3,84.5
Rockland County,166028,151516,51,46.5,151508,166002,62.9,57.4,156610,67.2,143913,61.7,43698,40558,84.4,78.3
Saratoga County,155270,145754,67.5,63.4,145750,155263,77.4,72.6,145653,78.9,137367,74.4,39943,37653,92.4,87.1
Schenectady County,92330,85918,59.5,55.3,85916,92322,69.3,64.5,86860,71.3,81360,66.8,24450,23269,90.7,86.4
Schoharie County,14476,13688,46.7,44.2,13688,14476,52.5,49.7,13877,54.1,13194,51.5,5078,4868,72.1,69.1
Schuyler County,9454,8946,53.1,50.2,8945,9453,60.4,57.1,9116,62.9,8659,59.7,3356,3208,85.8,82
Seneca County,15558,14622,45.7,43,14622,15558,52.5,49.3,14769,54.2,13956,51.3,5005,4827,75,72.3
St. Lawrence County,54413,51580,50.5,47.9,51579,54409,58,55,51516,59.8,49030,56.9,15754,15295,81.4,79
Steuben County,46756,43199,49,45.3,43199,46753,56.8,52.5,44782,59.6,41642,55.4,15272,14312,79.5,74.5
Suffolk County,880435,805758,59.6,54.6,805738,880354,68.7,62.9,842295,72.1,775420,66.4,230874,214678,90.2,83.9
Sullivan County,36181,33265,48,44.1,33261,36175,55.6,51.1,34784,58.4,32088,53.9,10972,10259,75.3,70.4
Tioga County,24622,22664,51.1,47,22664,24621,58.6,54,23451,61.3,21653,56.6,8047,7537,79.7,74.7
Tompkins County,71425,66929,69.9,65.5,66925,71418,77.3,72.4,67911,77.9,63795,73.2,14291,13606,92.6,88.2
Ulster County,107211,98704,60.4,55.6,98700,107202,67.9,62.5,102086,69.6,94594,64.5,30477,28563,84.2,78.9
Warren County,42336,40042,66.2,62.6,40042,42334,74.8,70.7,40381,77.1,38332,73.2,13470,12883,91.8,87.8
Washington County,33661,31465,55,51.4,31465,33661,62.4,58.3,32237,64.7,30277,60.8,11247,10620,91.5,86.4
Wayne County,46468,43745,51.7,48.6,43745,46468,60,56.5,44223,62.4,41920,59.2,14403,13898,82.1,79.2
Westchester County,625440,569417,64.6,58.9,569399,625391,75.1,68.3,580518,76.7,531800,70.2,146719,135309,87.1,80.3
Wyoming County,17056,15950,42.8,40,15950,17055,48.6,45.4,16443,50.7,15495,47.8,5763,5486,77.6,73.9
Yates County,11264,10566,45.2,42.4,10566,11263,53.1,49.8,10826,55.7,10206,52.5,4302,4061,80.9,76.4
