County Level Vaccination Data for Tennessee
Date generated: Wed Jul 07 2021 16:25:50 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Grainger County,9228,8376,39.6,35.9,8375,9226,45.1,41,9069,48.6,8265,44.3,3797,3577,77.8,73.3
Greene County,26042,23019,37.7,33.3,23019,26041,42.8,37.9,25320,45.4,22559,40.5,11056,10312,72.5,67.6
Grundy County,2772,2427,20.6,18.1,2427,2771,23.9,20.9,2745,26,2414,22.9,1289,1182,45.7,41.9
Hamblen County,21354,19133,32.9,29.5,19133,21352,38.7,34.6,20838,41.7,18756,37.5,7975,7433,66.4,61.9
Hamilton County,169855,150697,46.2,41,150692,169835,53.6,47.5,163281,55.9,145846,50,51980,47933,78.8,72.7
Hancock County,1691,1555,25.5,23.5,1555,1691,29.6,27.2,1673,31.9,1542,29.4,698,657,48.5,45.7
Hardeman County,8707,7607,34.8,30.4,7607,8705,39.7,34.7,8568,42.2,7524,37.1,3356,2993,72.2,64.4
Hardin County,8291,7523,32.3,29.3,7523,8290,37.1,33.7,8172,40,7445,36.5,3770,3500,63,58.5
Hawkins County,19929,18021,35.1,31.7,18020,19929,39.9,36.1,19529,42.7,17734,38.8,8538,7939,69.4,64.5
Haywood County,6733,5847,38.9,33.8,5847,6728,45.4,39.4,6607,49.1,5783,43,2603,2342,76.2,68.6
Henderson County,9079,8102,32.3,28.8,8102,9078,37.8,33.7,8956,41.1,8006,36.8,3857,3547,72.4,66.6
Henry County,11750,10718,36.3,33.1,10718,11749,41.7,38.1,11579,45,10596,41.1,5554,5248,72.3,68.3
Hickman County,7899,7158,31.4,28.4,7158,7897,36.2,32.8,7797,39,7094,35.5,3247,3042,71.9,67.4
Houston County,2584,2300,31.5,28,2300,2584,36.4,32.4,2546,39.4,2272,35.1,1132,1037,66.4,60.8
Humphreys County,5838,5191,31.4,27.9,5191,5837,36.4,32.4,5736,39.3,5121,35.1,2618,2434,69.6,64.7
Jackson County,3083,2805,26.2,23.8,2804,3081,29.6,26.9,3048,31.5,2785,28.7,1462,1370,54.1,50.7
Jefferson County,21463,19484,39.4,35.8,19484,21460,44.8,40.7,20916,47.5,19096,43.3,8741,8242,78.5,74
Johnson County,5735,5055,32.2,28.4,5055,5734,36.1,31.8,5632,38.1,4988,33.7,2490,2311,60.1,55.7
Knox County,230670,209859,49,44.6,209844,230629,56.8,51.7,222098,59.7,203313,54.6,65782,61049,86.5,80.3
Lake County,1803,1576,25.7,22.5,1576,1802,28.3,24.8,1782,29.7,1565,26,757,670,64.4,57
Lauderdale County,7148,6261,27.9,24.4,6261,7148,32.5,28.5,7070,35.4,6210,31.1,2857,2585,68.3,61.8
Lawrence County,12201,10889,27.6,24.7,10889,12198,33.1,29.5,11953,36.1,10711,32.3,5355,4884,67.6,61.7
Lewis County,3321,3028,27.1,24.7,3028,3319,31.5,28.7,3277,34.2,2998,31.3,1536,1444,58.8,55.3
Lincoln County,10954,9974,31.9,29,9974,10951,37.1,33.8,10749,40.2,9835,36.8,5114,4852,75.7,71.8
Loudon County,28433,26126,52.6,48.3,26124,28427,60.1,55.2,27920,63.8,25758,58.9,13306,12577,91.5,86.5
Macon County,5747,5221,23.4,21.2,5221,5745,28,25.5,5684,30.6,5179,27.9,2474,2345,62.5,59.2
Madison County,40619,37013,41.5,37.8,37010,40610,48.6,44.3,39462,51.8,36129,47.5,14070,13315,81.8,77.4
Marion County,9757,8720,33.8,30.2,8720,9756,39.1,34.9,9561,41.9,8583,37.6,4122,3839,70.2,65.4
Marshall County,11379,9830,33.1,28.6,9830,11376,38.9,33.6,11146,42.2,9682,36.6,4337,3814,77.2,67.9
Maury County,47411,43019,49.2,44.6,43014,47404,58.3,52.9,45647,61.7,41622,56.3,14580,13615,92.6,86.5
McMinn County,16548,15046,30.8,28,15046,16548,35.6,32.4,16253,38.3,14827,35,7085,6630,66.2,62
McNairy County,9484,8487,36.9,33,8487,9484,42.6,38.2,9395,46.6,8427,41.8,4387,4010,80.7,73.7
Meigs County,6646,6028,53.5,48.5,6028,6645,61.4,55.7,6547,65.9,5955,59.9,2930,2773,99.9,99.9
Monroe County,15627,14347,33.6,30.8,14347,15626,38.7,35.6,15426,41.9,14210,38.6,7055,6646,70.7,66.6
Montgomery County,90508,80361,43.3,38.5,80358,90498,53.3,47.4,87188,57,78004,51,16688,15407,84.5,78
Moore County,1180,1025,18.2,15.8,1025,1179,20.6,17.9,1165,22.3,1018,19.4,556,503,38.9,35.2
Morgan County,8658,7911,40.5,37,7911,8656,45.9,41.9,8534,49.1,7815,45,3489,3273,87.8,82.3
Obion County,8992,7821,29.9,26,7821,8990,34.8,30.3,8889,37.7,7761,32.9,4355,3954,69.8,63.4
Overton County,6223,5703,28,25.6,5703,6223,32.3,29.6,6136,35,5654,32.3,2873,2736,62.5,59.6
Perry County,2469,2197,30.6,27.2,2197,2469,36,32,2443,38.9,2179,34.7,1163,1057,67.4,61.3
Pickett County,1841,1699,36.5,33.7,1699,1840,40.5,37.4,1823,43.6,1687,40.3,959,900,68.3,64.1
Polk County,5565,5154,33.1,30.6,5154,5564,37.6,34.8,5508,40.4,5120,37.6,2503,2382,68.6,65.2
Putnam County,32195,29374,40.1,36.6,29374,32189,46.4,42.4,31361,49.4,28742,45.2,11670,11033,86.7,82
Rhea County,11175,10150,33.7,30.6,10150,11174,39.3,35.7,11037,42.9,10066,39.1,4705,4406,75.3,70.5
Roane County,19040,17475,35.7,32.7,17474,19032,40.3,37,18655,42.9,17173,39.5,7917,7482,64,60.5
Robertson County,27639,24988,38.5,34.8,24987,27634,45.4,41.1,26858,48.9,24425,44.5,8904,8306,80.8,75.3
Rutherford County,132514,117497,39.9,35.4,117492,132499,47.5,42.1,126687,50.5,113181,45.1,30382,27990,84.8,78.1
Scott County,6274,5713,28.4,25.9,5713,6274,33.5,30.5,6182,36.9,5651,33.7,2456,2350,64.8,62
Sequatchie County,3913,3350,26,22.3,3350,3913,29.9,25.6,3834,32.2,3306,27.7,1864,1649,59.6,52.7
Sevier County,37179,33172,37.8,33.8,33171,37173,43.6,38.9,36292,46.4,32585,41.7,14286,13281,71.5,66.5
Shelby County,418965,335563,44.7,35.8,335536,418843,53.7,43,400865,56.9,323442,45.9,109087,89409,83,68.1
Smith County,5019,4464,24.9,22.1,4464,5018,29.1,25.9,4950,31.6,4415,28.2,2053,1895,58.9,54.4
Stewart County,4440,3939,32.4,28.7,3939,4440,37.2,33,4359,40.1,3881,35.7,1947,1800,68.7,63.5
Sullivan County,72250,65493,45.6,41.4,65489,72240,51.9,47.1,70157,54.7,63923,49.9,28044,26373,79.7,75
Sumner County,70832,63203,37,33,63202,70826,43.7,39,68468,46.7,61442,41.9,23061,21011,74.3,67.7
Tipton County,17889,15674,29,25.4,15673,17887,34.3,30.1,17406,37.3,15330,32.8,6142,5649,66.8,61.5
Trousdale County,3207,2911,28.4,25.8,2911,3206,32.4,29.4,3161,34.1,2882,31.1,1111,1036,75.9,70.8
Unicoi County,8035,7184,44.9,40.2,7184,8034,50.9,45.5,7839,53.8,7062,48.5,3297,3050,79.2,73.2
Union County,5578,4993,27.9,25,4993,5577,32.4,29,5482,35,4927,31.4,2156,2017,58,54.3
Unknown,66343,55383,N/A,N/A,55365,66291,N/A,N/A,64577,N/A,54860,N/A,15840,14165,N/A,N/A
Van Buren County,2583,2324,44,39.6,2324,2583,50.5,45.5,2545,54,2292,48.6,1212,1120,88.1,81.5
Warren County,12675,11354,30.7,27.5,11354,12673,36.1,32.3,12423,39.2,11166,35.3,5225,4874,70.7,65.9
Washington County,63158,56983,48.8,44,56982,63156,55.6,50.2,61011,58.2,55418,52.8,21293,19751,87.7,81.4
Wayne County,5438,4968,32.6,29.8,4967,5435,36.4,33.2,5382,38.7,4934,35.5,2255,2103,68,63.4
Weakley County,9432,8328,28.3,25,8327,9427,32.4,28.6,9285,34.5,8224,30.6,4029,3723,63.5,58.7
White County,9190,8306,33.6,30.4,8306,9187,39.2,35.4,9024,42.2,8186,38.3,4269,3950,76,70.3
Williamson County,127883,117287,53.6,49.2,117281,127870,64.2,58.8,119511,68.5,110626,63.4,30933,28851,96.1,89.6
Wilson County,58720,53316,40.6,36.9,53314,58715,47.9,43.5,56446,51,51625,46.6,17817,16644,76.8,71.8
