County Level Vaccination Data for Montana
Date generated: Fri Jul 02 2021 13:36:07 GMT-0400 (Eastern Daylight Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident
Pondera County,2691,2285,45.5,38.7,2285,2691,54.6,46.3,2587,57.8,2221,49.6,1000,892,82.2,73.4
Powder River County,283,269,16.8,16,269,283,18.7,17.8,282,20.2,268,19.2,165,158,35.4,33.9
Powell County,2534,2350,36.8,34.1,2350,2534,40.7,37.7,2509,42.6,2333,39.6,1067,986,72.9,67.3
Prairie County,336,322,31.2,29.9,322,336,36.1,34.6,333,38,319,36.4,196,187,54.3,51.8
Ravalli County,18039,16445,41.2,37.5,16444,18037,46.6,42.5,17536,49.3,16084,45.2,8412,7879,72.3,67.8
Richland County,3060,2907,28.3,26.9,2906,3058,34.1,32.4,3008,37.1,2872,35.4,1204,1170,72.5,70.5
Roosevelt County,5072,4162,46.1,37.8,4162,5071,60.1,49.3,4822,65.9,4041,55.2,1375,1252,99.9,96.8
Rosebud County,5748,4970,64.3,55.6,4969,5744,79.7,68.9,5319,83.5,4728,74.2,1463,1373,99.4,93.3
Sanders County,3792,3678,31.3,30.4,3678,3792,35.2,34.2,3742,37.4,3639,36.4,2124,2087,54.2,53.3
Sheridan County,1315,1245,39.7,37.6,1245,1315,46.2,43.7,1310,50,1242,47.4,656,642,85.2,83.4
Silver Bow County,18081,16952,51.8,48.6,16951,18077,60,56.3,17256,62,16251,58.4,5983,5667,87.9,83.2
Stillwater County,3410,3157,35.4,32.7,3156,3410,40.5,37.4,3376,44.4,3133,41.2,1658,1570,73.1,69.2
Sweet Grass County,1220,1161,32.6,31.1,1161,1220,37.3,35.5,1196,40.2,1153,38.8,608,603,59.3,58.8
Teton County,2207,1869,35.9,30.4,1869,2207,42.8,36.2,2156,46.4,1837,39.5,1034,896,72.5,62.8
Toole County,1698,1602,35.9,33.8,1601,1697,41.8,39.5,1691,45.1,1601,42.7,615,600,66.8,65.1
Treasure County,261,248,37.5,35.6,248,261,44.7,42.5,261,47.5,248,45.2,163,157,81.1,78.1
Unknown,26484,20208,N/A,N/A,20207,26470,N/A,N/A,26030,N/A,20072,N/A,7767,6763,N/A,N/A
Valley County,2682,2445,36.3,33.1,2445,2682,42.5,38.7,2635,46,2427,42.4,1176,1128,67,64.2
Wheatland County,613,560,28.8,26.3,560,613,33.6,30.7,610,36.5,559,33.4,324,311,59.9,57.5
Wibaux County,218,209,22.5,21.6,209,218,26.1,25.1,216,27.9,208,26.9,131,128,52.4,51.2
Yellowstone County,67818,61544,42,38.2,61538,67805,49.7,45.1,65358,52.8,59805,48.3,23334,21999,83.1,78.3
