county_name,case rate,death rate,Percent Black or African American,Mean household income (dollars),Percent of 18+ Pop Fully Vaccinated
Grady,6560.72,199.67,29.8,58661,8
Greene,8099.59,288.51,35.2,89654,36
Gwinnett,9036.03,115.22,27.8,91502,23.5
Habersham,10227.07,334.06,3.2,63866,11.7
Hall,12329.6,222.92,7.2,86265,22.8
Hancock,10277.07,805.57,73.2,48174,4.6
Haralson,5618.12,113.92,5.1,63993,8.4
Harris,6458.86,172.85,16.1,99608,14.8
Hart,6649.56,149.39,19.4,58702,22.2
Heard,5286.98,137.43,8.7,58620,7.1
Henry,8194.16,128.41,43.9,85540,13.7
Houston,6495.84,129.9,31.0,77239,28.7
Irwin,7993.22,190.82,28.7,51912,6.3
Jackson,11534.14,182.06,6.8,81860,18.4
Jasper,4845.41,126.77,20.4,60275,10.3
Jeff Davis,8648.01,231.05,16.7,47619,4.1
Jefferson,10422.52,391.82,53.3,47500,21.4
Jenkins,8512.13,454.76,34.9,39307,13.9
Johnson,8218.61,445.09,33.2,50557,6
Jones,5655.63,185.37,24.6,66967,15.9
Lamar,7060.53,242.93,29.4,58828,6.4
Lanier,4956.04,86.95,24.4,50196,6.7
Laurens,7930.9,310.81,37.3,56190,15
Lee,5415.23,166.83,20.7,82953,8.5
Liberty,5821.92,100.16,41.2,58338,34.1
Lincoln,6547.69,307.69,31.0,60154,12.3
Long,3479.79,60.26,24.9,63440,2.7
Lowndes,6761.23,123.01,36.5,61180,20.4
Lumpkin,8422.58,198.21,2.1,71726,4.4
Macon,4835.23,238.68,39.9,55341,9.8
Madison,9222.26,159.06,35.5,61632,15.5
Marion,4907.75,253.23,61.5,46927,7.4
McDuffie,7922.4,194.47,10.6,65543,10.3
McIntosh,4825.98,96.11,30.9,55358,29.4
Meriwether,7459.56,361.56,39.9,51952,16.9
Miller,11884.11,156.14,30.5,57772,8.9
Mitchell,7032.1,344.58,46.5,51694,9.4
Monroe,6906.63,317.38,23.2,86317,5.5
Montgomery,7990.03,227.67,26.4,61661,13.5
Morgan,6338.18,125.4,23.5,87406,16.8
Murray,10531.28,208.64,1.0,59543,7.2
Muscogee,7705.63,221.79,46.3,65942,27.4
Newton,6841.77,209.16,44.9,71820,9.4
Oconee,7403.5,158.13,5.2,122678,22.1
Oglethorpe,7972.44,190.29,17.6,58012,21.5
Paulding,6394.96,99.69,19.1,80865,13.6
Peach,6933.33,215.53,44.8,63011,5.8
Pickens,7694.6,190.87,1.0,81284,8.8
Pierce,6595.04,235.35,9.3,59010,19.4
Pike,5805.94,148.46,9.0,78604,7.2
Polk,9155.51,190.88,12.0,64011,6.1
Pulaski,5655.01,302.95,37.9,58868,5.9
Putnam,8288.78,265.02,26.2,76143,6.1
Quitman,3530.95,87.18,51.9,44571,8
Rabun,9260.57,241.38,2.7,66194,21
Randolph,7047.68,488.6,62.4,42080,5.7
Richmond,10076.15,212.62,56.5,58176,26.1
Rockdale,6526.96,163.23,54.7,77956,8.2
Schley,4000,94.79,25.4,54667,10.2
Screven,5956.83,151.08,41.6,56501,27.6
Seminole,9213.76,221.13,33.2,65251,4.8
Spalding,6093.18,241.64,34.1,63580,7.7
Stephens,11497.27,296.26,11.9,62370,5.2
Stewart,13672.7,407.9,52.9,46204,12.8
Sumter,6265.52,326.54,52.3,53060,30
Talbot,6495.62,292.3,57.7,49085,20.8
Taliaferro,6250,183.82,62.1,49292,9.6
Tattnall,7366.89,181.02,29.3,57852,6.5
Taylor,6484.04,276.45,38.0,49357,21.2
Telfair,4691.89,294.04,41.3,51004,12.3
Terrell,6897.37,555.1,59.7,50725,11.5
Thomas,8235.24,256.58,36.4,67588,14.4
Tift,8510.9,247.37,29.6,60196,14
Toombs,11018.05,374.31,25.8,64821,9.4
Towns,9414.99,373.94,1.5,61147,5.5
Treutlen,9386.44,424.66,26.4,53068,5.4
Troup,8567.9,276.93,36.2,60945,13.7
Turner,7602.77,421,40.8,50365,10.8
Twiggs,6319.56,482.32,42.8,49399,4
Union,8261.3,288.14,0.7,66554,7.1
Upson,6975.68,426.23,27.8,52684,29.5
Walker,9682.52,116.36,4.1,61409,15.7
Walton,8532.16,249.44,17.7,78154,16.7
Ware,8576.69,423.95,30.2,52895,17.2
Warren,7504.8,326.3,61.1,53077,8.1
Washington,8102.65,305.39,53.1,52936,7.1
Wayne,9294.72,266.9,20.6,58658,24.6
Webster,4196.08,156.86,37.2,53823,10.3
Wheeler,5841.45,265.52,43.4,39372,4.2
White,9487.37,214.12,1.5,67742,5
Whitfield,14302.77,220.69,3.8,66969,14.3
Wilcox,5483.5,341.3,35.5,53060,6.1
Wilkes,6850.41,229.68,42.6,58715,9.8
Wilkinson,8274.47,302.72,38.9,53601,13
Worth,5967.63,302.85,28.0,61666,9.1
